name,price,shortDescription,fullDescription,imageUrl,sku,category,stock
SolarMart 3kVA Home Solar Kit,1850000,"Reliable backup power for essential home loads with lower generator dependence.","A compact solar kit built for Nigerian homes that want steady power for lights, fans, TVs, routers, and small appliances. It helps reduce fuel cost and gives cleaner daily backup for unstable grid conditions.","https://itelsolar.com/wp-content/uploads/2025/12/Itel-PowerCore-3K-Pro-3KW-24V-IP54-Smart-Inverter-2.56kWh-Lithium-Battery-1770W-High-Power-Solar-Kit.webp",SM-KIT-3KVA-001,Solar Kits,8
SolarMart 5kVA Family Solar Kit,3250000,"Balanced solar package for family homes and small office use.","A strong mid-size solar solution for households and small businesses that need dependable power through the day. Designed to reduce NEPA spend and keep key appliances running with less interruption.","https://itelsolar.com/wp-content/uploads/2025/08/iTel-8kWh-All-in-One-Solar-Power-Kit-3.6kW-Hybrid-Inverter-8%C3%97550W-Panels-%E2%80%93-with-Installation.jpg",SM-KIT-5KVA-001,Solar Kits,6
SolarMart 10kVA Business Solar Kit,5950000,"High-capacity system for offices, shops, and heavier household demand.","Built for stronger daily loads, this kit supports business continuity, longer backup time, and lower generator use. A good fit for offices, shops, and large homes that need reliable solar performance.","https://itelsolar.com/wp-content/uploads/2025/12/itelSolar-PowerMax-16K-The-Ultimate-16kWh-6kW-Whole-Home-Energy-System-with-Installation-6kw-Hybrid-inverter-16kwh-Lithium-Battery-12unit-of-590W-Panels-580x580.webp",SM-KIT-10KVA-001,Solar Kits,4
SolarMart 3.5kVA Hybrid Inverter,840000,"Efficient inverter for stable home and small business backup.","A practical inverter choice for users who want clean power switching, battery support, and solar readiness. It is built to handle Nigeria's frequent outages with steady output and good energy savings.","https://itelsolar.com/wp-content/uploads/2025/07/itel-6kW-Hybrid-Solar-Inverter-%E2%80%93-Dual-AC-Output-for-Homes-Clinics-48V-IP54-Rated-2.jpg",SM-INV-35KVA-001,Inverters,12
SolarMart 5kVA Pure Sine Wave Inverter,920000,"Clean and dependable inverter for everyday power backup.","Designed for homes and offices that need stable power without noise or fuel cost. This inverter helps support longer backup periods and pairs well with batteries and solar panels.","https://itelsolar.com/wp-content/uploads/2025/07/itel-6kW-Hybrid-Solar-Inverter-%E2%80%93-Dual-AC-Output-for-Homes-Clinics-48V-IP54-Rated-2.jpg",SM-INV-5KVA-001,Inverters,10
SolarMart 5kWh Lithium Battery,1250000,"Long-life battery storage for reliable backup and faster charging.","A modern lithium storage option for customers who want better cycle life, faster recharge, and stronger backup quality. Ideal for daily solar use in Nigerian homes and businesses.","https://itelsolar.com/wp-content/uploads/2025/04/itel-5120Wh-Lithium-Battery-Wall-Mounted-48V-100Ah-5.12kWh-IPW-51100.webp",SM-BAT-5KWH-001,Batteries,14
SolarMart 10kWh Lithium Battery,2480000,"Higher storage capacity for larger homes and business backup needs.","A larger battery for customers who need extended backup and better support for demanding appliances. It helps reduce downtime and keeps solar systems useful during long outages.","https://itelsolar.com/wp-content/uploads/2025/12/itelSolar-PowerMax-16K-The-Ultimate-16kWh-6kW-Whole-Home-Energy-System-with-Installation-6kw-Hybrid-inverter-16kwh-Lithium-Battery-12unit-of-590W-Panels-580x580.webp",SM-BAT-10KWH-001,Batteries,7
SolarMart 550W Monocrystalline Panel,165000,"High-output panel for stronger energy generation per roof space.","A high-efficiency solar panel built to capture more power with fewer modules. Good for homes and businesses that want better output, stronger reliability, and cleaner long-term energy savings.","https://itelsolar.com/wp-content/uploads/2025/04/iTel-550W-Solar-Panel-21.29-module-efficiency-with-144-N-Type-Mono-cells-11.jpg",SM-PNL-550W-001,Solar Panels,48
SolarMart 410W Monocrystalline Panel,130000,"Trusted panel for dependable rooftop solar generation.","A practical panel choice for complete kits and system expansion. It offers dependable solar generation for Nigerian conditions and helps reduce dependence on grid electricity and generators.","https://itelsolar.com/wp-content/uploads/2025/04/itel-410W-Monocrystalline-Solar-Panel-%E2%80%93-Rooftop-Solar-for-Homes-Shops-Offices-High-Efficiency-IP68-Rated-1.jpg",SM-PNL-410W-001,Solar Panels,60
SolarMart Mounting Rail Kit,115000,"Secure mounting hardware for neat rooftop installation.","A clean mounting accessory set for solar panels on rooftops and frames. It helps installers achieve a stable, tidy setup that supports long-term reliability and safe placement.","https://itelsolar.com/wp-content/uploads/2025/04/itel-410W-Monocrystalline-Solar-Panel-%E2%80%93-Rooftop-Solar-for-Homes-Shops-Offices-High-Efficiency-IP68-Rated-1.jpg",SM-ACC-MRK-001,Accessories,22
SolarMart DC Combiner Box,98000,"Organized protection and wiring for solar panel connections.","A practical accessory for tidy system wiring, protection, and smoother installation. Useful for installers building reliable solar setups for homes and commercial spaces.","https://itelsolar.com/wp-content/uploads/2025/04/itel-410W-Monocrystalline-Solar-Panel-%E2%80%93-Rooftop-Solar-for-Homes-Shops-Offices-High-Efficiency-IP68-Rated-1.jpg",SM-ACC-DCB-001,Accessories,18
